Timestamp,Email Address,What do you want to do?,Role ID,Job Title,Brand / location,Reports to,Terms,Salary Rate,Rate is,Short summary for the jobs list,About the role,Responsibilities / Tasks,Job requirements,Benefits,Anything that makes this role stand out?,Category tag,Schedule note,Notes,Pin this role to the top?
8/29/2026 5:30:54,someone@example.com,Post a new role,booking-concierge,Booking Concierge,N Beauty Holdings (both brands),Client Experience Curator,Employee,$16.50 - $20,per hour,"Be the first point of contact for our clients. Schedule appointments, keep stylists and guests in sync, and set the tone for every visit before it begins.","The Booking Concierge is the first point of contact with our clients and primarily responsible for scheduling appointments, communicating with team members and clients, and providing reports to the Client Experience Curator.","Sending daily deposit texts as needed 
Communicate and follow up  with clients through various channels (calls, text, emails, etc.)
Logging appointments in the system
Answer phones
Greeting clients and team members in warm manner 
Communicate with on-site team via Ops text, updating it as necessary to reflect schedule changes
Communicate with stylists to understand time blocks and pictures of styles 
Fill in daily KPI report
Participate in weekly Booking Concierge meeting phone, text, Mangomint, and Connecteam
Attend 80% team wide meetings 
Other duties as assigned","A desire to foster a sense of community and belonging
Experience working in customer service and able to manage high
 level scheduling
Designated professionally curated space to conduct and participate in virtual client and team meetings.
Strong communication skills, analytical skills, customer service skills, problem-solving skills, and leadership abilities
Personable and able to adapt to an evolving workforce
Previous healthcare experience a plus
Great attention to detail  
",,,"client experience, employee",,,Yes
8/29/2026 5:33:40,someone@example.com,Post a new role,host,Host,TWST Bar,Salon Coordinator,Employee,$16.50 - $18,per hour,"Set the tone for every client experience. Greet guests on arrival, manage the pace of the salon, and carry each visit from welcome through checkout.","The Host is responsible for greeting clients when they arrive at the salon and ensuring they complete the necessary forms to get an appointment on the books. The Host  sets the tone for the client experience and must exercise excellent customer service at all times. The Host manages the pace of the salon including but not limited to client wait time. The Host facilitates the full-cycle client process.
","Utilizes various modes of communication (calls, text, emails, etc.) to keep clients informed
Inputting appointments in applicable systems 
Monitors TWST Bar phones
Greeting clients and team members in warm manner upon arrival
Escort clients from welcome to the beginning of their appointment
Executes the client checkout process with accuracy, ensuring all transactions, discounts, and adjustments are applied in accordance with company procedure.
Responsible for securing client approval for final product photos / videos prior to the client's departure
Ensure Whiteboard is kept up-to-date with service providers and client appointment information
Communicate with Booking team daily through phone calls /text/white board 
Ensures that all details are provided for client profiles
Takes picture of clients final style and uploads to their profile 
Fill out closing sheet and KPI forms daily
Attend weekly Host Meetings 
Clean up area to N standards before leaving 
Review daily schedule
Take in-house continued education classes
Attended 80% of team wide meetings 
Other duties as assigned","A desire to foster a sense of community and belonging
Must be punctual, have excellent customer service and interpersonal skills, able to embrace challenges
Proficient in Microsoft Office Suite, Google Suite and comfortable learning new software systems.
Ability to work well in a team
Excellent customer service skills
Great attention to detail  
",,,"front of house, employee",,,Yes
